root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
8 packets transmitted, 0 received, 100% packet loss, time 7167ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
^C                                      
--- 10.10.10.25 ping statistics ---     
4 packets transmitted, 0 received, 100% packet loss, time 3068ms                

root@parrot:~/hackthebox/holiday# ping 10.10.10.25                              
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=18 ttl=63 time=385 ms                       
64 bytes from 10.10.10.25: icmp_seq=19 ttl=63 time=343 ms                       
64 bytes from 10.10.10.25: icmp_seq=20 ttl=63 time=302 ms                       
64 bytes from 10.10.10.25: icmp_seq=21 ttl=63 time=259 ms                       
64 bytes from 10.10.10.25: icmp_seq=22 ttl=63 time=188 ms                       
64 bytes from 10.10.10.25: icmp_seq=23 ttl=63 time=198 ms                       
64 bytes from 10.10.10.25: icmp_seq=24 ttl=63 time=186 ms                       
64 bytes from 10.10.10.25: icmp_seq=25 ttl=63 time=194 ms                       
64 bytes from 10.10.10.25: icmp_seq=26 ttl=63 time=228 ms                       
64 bytes from 10.10.10.25: icmp_seq=27 ttl=63 time=276 ms                       
64 bytes from 10.10.10.25: icmp_seq=28 ttl=63 time=385 ms                       
64 bytes from 10.10.10.25: icmp_seq=29 ttl=63 time=189 ms                       
64 bytes from 10.10.10.25: icmp_seq=30 ttl=63 time=192 ms                       
^C                                      
--- 10.10.10.25 ping statistics ---     
30 packets transmitted, 13 received, 56.6667% packet loss, time 29408ms         
rtt min/avg/max/mdev = 185.678/255.777/385.246/73.149 ms                        
root@parrot:~/hackthebox/holiday# ping -c 5 10.10.10.25                                                                                                          
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=1 ttl=63 time=325 ms                        
64 bytes from 10.10.10.25: icmp_seq=2 ttl=63 time=435 ms                        
^C                                      
--- 10.10.10.25 ping statistics ---     
3 packets transmitted, 2 received, 33.3333% packet loss, time 2000ms            
rtt min/avg/max/mdev = 325.170/379.926/434.682/54.756 ms                        
root@parrot:~/hackthebox/holiday# ping 10.10.10.25                                                                                                               
PING 10.10.10.25 (10.10.10.25) 56(84) bytes of data.                            
64 bytes from 10.10.10.25: icmp_seq=125 ttl=63 time=236 ms                      
64 bytes from 10.10.10.25: icmp_seq=126 ttl=63 time=496 ms                      
64 bytes from 10.10.10.25: icmp_seq=127 ttl=63 time=462 ms                      
64 bytes from 10.10.10.25: icmp_seq=128 ttl=63 time=297 ms                      
64 bytes from 10.10.10.25: icmp_seq=129 ttl=63 time=231 ms                      
64 bytes from 10.10.10.25: icmp_seq=130 ttl=63 time=220 ms                      
64 bytes from 10.10.10.25: icmp_seq=131 ttl=63 time=697 ms                      
64 bytes from 10.10.10.25: icmp_seq=132 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=133 ttl=63 time=314 ms                      
64 bytes from 10.10.10.25: icmp_seq=134 ttl=63 time=1289 ms                     
64 bytes from 10.10.10.25: icmp_seq=135 ttl=63 time=1623 ms                     
64 bytes from 10.10.10.25: icmp_seq=136 ttl=63 time=1643 ms                     
64 bytes from 10.10.10.25: icmp_seq=137 ttl=63 time=1246 ms                     
64 bytes from 10.10.10.25: icmp_seq=138 ttl=63 time=686 ms                      
64 bytes from 10.10.10.25: icmp_seq=139 ttl=63 time=220 ms                      
64 bytes from 10.10.10.25: icmp_seq=140 ttl=63 time=702 ms                      
64 bytes from 10.10.10.25: icmp_seq=141 ttl=63 time=922 ms                      
64 bytes from 10.10.10.25: icmp_seq=143 ttl=63 time=1634 ms                     
64 bytes from 10.10.10.25: icmp_seq=144 ttl=63 time=1435 ms                     
64 bytes from 10.10.10.25: icmp_seq=146 ttl=63 time=3287 ms                     
64 bytes from 10.10.10.25: icmp_seq=148 ttl=63 time=2970 ms                     
64 bytes from 10.10.10.25: icmp_seq=149 ttl=63 time=1945 ms                     
64 bytes from 10.10.10.25: icmp_seq=150 ttl=63 time=944 ms                      
64 bytes from 10.10.10.25: icmp_seq=151 ttl=63 time=787 ms                      
64 bytes from 10.10.10.25: icmp_seq=152 ttl=63 time=184 ms                      
64 bytes from 10.10.10.25: icmp_seq=153 ttl=63 time=1008 ms                     
64 bytes from 10.10.10.25: icmp_seq=154 ttl=63 time=846 ms                      
64 bytes from 10.10.10.25: icmp_seq=155 ttl=63 time=835 ms                      
64 bytes from 10.10.10.25: icmp_seq=156 ttl=63 time=200 ms                      
64 bytes from 10.10.10.25: icmp_seq=157 ttl=63 time=255 ms                      
64 bytes from 10.10.10.25: icmp_seq=158 ttl=63 time=691 ms                      
64 bytes from 10.10.10.25: icmp_seq=159 ttl=63 time=681 ms                      
64 bytes from 10.10.10.25: icmp_seq=160 ttl=63 time=510 ms                      
64 bytes from 10.10.10.25: icmp_seq=161 ttl=63 time=776 ms                      
64 bytes from 10.10.10.25: icmp_seq=162 ttl=63 time=597 ms                      
64 bytes from 10.10.10.25: icmp_seq=163 ttl=63 time=205 ms                      
64 bytes from 10.10.10.25: icmp_seq=164 ttl=63 time=216 ms                      
64 bytes from 10.10.10.25: icmp_seq=165 ttl=63 time=789 ms                      
64 bytes from 10.10.10.25: icmp_seq=166 ttl=63 time=391 ms                      
64 bytes from 10.10.10.25: icmp_seq=167 ttl=63 time=296 ms                      
64 bytes from 10.10.10.25: icmp_seq=168 ttl=63 time=797 ms                      
64 bytes from 10.10.10.25: icmp_seq=169 ttl=63 time=463 ms                      
64 bytes from 10.10.10.25: icmp_seq=170 ttl=63 time=198 ms                      
64 bytes from 10.10.10.25: icmp_seq=171 ttl=63 time=652 ms                      
64 bytes from 10.10.10.25: icmp_seq=172 ttl=63 time=191 ms                      
64 bytes from 10.10.10.25: icmp_seq=173 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=174 ttl=63 time=184 ms                      
64 bytes from 10.10.10.25: icmp_seq=175 ttl=63 time=483 ms                      
64 bytes from 10.10.10.25: icmp_seq=176 ttl=63 time=342 ms                      
64 bytes from 10.10.10.25: icmp_seq=177 ttl=63 time=194 ms                      
64 bytes from 10.10.10.25: icmp_seq=178 ttl=63 time=269 ms                      
64 bytes from 10.10.10.25: icmp_seq=179 ttl=63 time=398 ms                      
64 bytes from 10.10.10.25: icmp_seq=180 ttl=63 time=576 ms                      
64 bytes from 10.10.10.25: icmp_seq=181 ttl=63 time=200 ms                      
64 bytes from 10.10.10.25: icmp_seq=182 ttl=63 time=211 ms                      
64 bytes from 10.10.10.25: icmp_seq=183 ttl=63 time=378 ms                      
64 bytes from 10.10.10.25: icmp_seq=184 ttl=63 time=337 ms                      
64 bytes from 10.10.10.25: icmp_seq=185 ttl=63 time=418 ms                      
64 bytes from 10.10.10.25: icmp_seq=186 ttl=63 time=465 ms                      
64 bytes from 10.10.10.25: icmp_seq=187 ttl=63 time=293 ms                      
64 bytes from 10.10.10.25: icmp_seq=188 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=189 ttl=63 time=757 ms                      
64 bytes from 10.10.10.25: icmp_seq=190 ttl=63 time=929 ms                      
64 bytes from 10.10.10.25: icmp_seq=191 ttl=63 time=620 ms                      
64 bytes from 10.10.10.25: icmp_seq=192 ttl=63 time=199 ms                      
64 bytes from 10.10.10.25: icmp_seq=193 ttl=63 time=197 ms                      
64 bytes from 10.10.10.25: icmp_seq=194 ttl=63 time=195 ms                      
64 bytes from 10.10.10.25: icmp_seq=195 ttl=63 time=202 ms                      
64 bytes from 10.10.10.25: icmp_seq=196 ttl=63 time=219 ms                      
64 bytes from 10.10.10.25: icmp_seq=197 ttl=63 time=240 ms                      
64 bytes from 10.10.10.25: icmp_seq=198 ttl=63 time=292 ms                      
64 bytes from 10.10.10.25: icmp_seq=199 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=200 ttl=63 time=271 ms                      
64 bytes from 10.10.10.25: icmp_seq=201 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=202 ttl=63 time=209 ms                      
64 bytes from 10.10.10.25: icmp_seq=203 ttl=63 time=217 ms                      
64 bytes from 10.10.10.25: icmp_seq=204 ttl=63 time=210 ms                      
64 bytes from 10.10.10.25: icmp_seq=205 ttl=63 time=234 ms                      
64 bytes from 10.10.10.25: icmp_seq=206 ttl=63 time=185 ms                      
64 bytes from 10.10.10.25: icmp_seq=207 ttl=63 time=213 ms                      
64 bytes from 10.10.10.25: icmp_seq=208 ttl=63 time=211 ms                      
