┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #cd /opt/                             
┌─[root@parrot]─[/opt]                     
└──╼ #ls                                   
BloodHound          finger-user-enum     impacket           php-reverse-shell                           SecLists      tmux-yank                  wordlists                    
BurpSuiteCommunity  firmware-mod-kit     JAWS               PowerSploit                                 ssh2john.c    truffleHog                 xplico                       
car-hacking         fsociety             linux_privsec      privilege-escalation-awesome-scripts-suite  Sublist3r     Ultimate-Facebook-Scraper  Yuki-Chan-The-Auto-Pentest   
ctf-tools           ghidra               mRemoteNG-Decrypt  PRTG-Network-Monitor-RCE                    Teeth         unicorn                                                 
dirsearch           ghidra_9.1.1_PUBLIC  nishang            pspy                                        tmux          Veil                                                    
Empire              gobuster             passwords          python3-pwntools                            tmux-logging  wicd-git                                                
┌─[root@parrot]─[/opt]                     
└──╼ #rm ssh2john.c                        
┌─[root@parrot]─[/opt]                     
└──╼ #vi ssh2john.py                       
┌─[root@parrot]─[/opt]                     
└──╼ #chmod +x ssh2john.py                 
┌─[root@parrot]─[/opt]                     
└──╼ #./ssh2john.py ~/hackthebox/openadmin/joanna ~/hackthebox/openadmin/joanna.hash   
/root/hackthebox/openadmin/joanna:$sshng$1$16$2AF25344B8391A25A9B318F3FD767D6D$1200$906d14608706c9ac6ea6342a692d9ed47a9b87044b94d72d5b61df25e68a5235991f8bac883f40b539c829550ea5937c69dfd2b4c589f8c910e4c9c030982541e51b4717013fafbe1e1db9d6331c83cca061cc7550c0f4dd98da46ec1c7f460e4a135b6f1f04bafaf66a08db17ecad8a60f25a1a095d4f94a530f9f0bf9222c6736a5f54f1ff93c6182af4ad8a407044eb16ae6cd2a10c92acffa6095441ed63215b6126ed62de25b2803233cc3ea533d56b72d15a71b291547983bf5bee5b0966710f2b4edf264f0909d6f4c0f9cb372f4bb323715d17d5ded5f83117233976199c6d86bfc28421e217ccd883e7f0eecbc6f227fdc8dff12ca87a61207803dd47ef1f2f6769773f9cb52ea7bb34f96019e00531fcc267255da737ca3af49c88f73ed5f44e2afda28287fc6926660b8fb0267557780e53b407255dcb44899115c568089254d40963c8511f3492efe938a620bde879c953e67cfb55dbbf347ddd677792544c3bb11eb0843928a34d53c3e94fed25bff744544a69bc80c4ffc87ffd4d5c3ef5fd01c8b4114cacde7681ea9556f22fc863d07a0f1e96e099e749416cca147add636eb24f5082f9224e2907e3464d71ae711cf8a3f21bd4476bf98c633ff1bbebffb42d24544298c918a7b14c501d2c43534b8428d34d500537f0197e75a4279bbe4e8d2acee3c1586a59b28671e406c0e178b4d29aaa7a478b0258bde6628a3de723520a66fb0b31f1ea5bf45b693f868d47c2d89692920e2898ccd89710c42227d31293d9dad740791453ec8ebfb26047ccca53e0a200e9112f345f5559f8ded2f193feedd8c1db6bd0fbfa5441aa773dd5c4a60defe92e1b7d79182af16472872ab3c222bdd2b5f941604b7de582b08ce3f6635d83f66e9b84e6fe9d3eafa166f9e62a4cdc993d42ed8c0ad5713205a9fc7e5bc87b2feeaffe05167a27b04975e9366fa254adf511ffd7d07bc1f5075d70b2a7db06f2224692566fb5e8890c6e39038787873f21c52ce14e1e70e60b8fca716feb5d0727ac1c355cf633226c993ca2f16b95c59b3cc31ac7f641335d80ff1ad3e672f88609ec5a4532986e0567e169094189dcc82d11d46bf73bc6c48a05f84982aa222b4c0e78b18cceb15345116e74f5fbc55d407ed9ba12559f57f37512998565a54fe77ea2a2224abbddea75a1b6da09ae3ac043b6161809b630174603f33195827d14d0ebd64c6e48e0d0346b469d664f89e2ef0e4c28b6a64acdd3a0edf8a61915a246feb25e8e69b3710916e494d5f482bf6ab65c675f73c39b2c2eecdca6709188c6f36b6331953e3f93e27c987a3743eaa71502c43a807d8f91cdc4dc33f48b852efdc8fcc2647f2e588ae368d69998348f0bfcfe6d65892aebb86351825c2aa45afc2e6869987849d70cec46ba951c864accfb8476d5643e7926942ddd8f0f32c296662ba659e999b0fb0bbfde7ba2834e5ec931d576e4333d6b5e8960e9de46d32daa5360ce3d0d6b864d3324401c4975485f1aef6ba618edb12d679b0e861fe5549249962d08d25dc2dde517b23cf9a76dcf482530c9a34762f97361dd95352de4c82263cfaa90796c2fa33dd5ce1d889a045d587ef18a5b940a2880e1c706541e2b523572a8836d513f6e688444af86e2ba9ad2ded540deadd9559eb56ac66fe021c3f88c2a1a484d62d602903793d10d                                       
[/root/hackthebox/openadmin/joanna.hash] couldn't parse keyfile                        
┌─[root@parrot]─[/opt]                     
└──╼ #cd -                                 
/root/hackthebox/openadmin                 
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #ls                                   
creds  exploit.sh  joanna  joanna.hash  l.sh  nmap  reverse.sh  shell.sh  www          
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #vi joanna.hash                       
┌─[root@parrot]─[~/hackthebox/openadmin]   
└──╼ #john -m 16700 joanna.hash --wordlist=/opt/wordlists/rockyou.txt --force                                                                                                 
Unknown option: "-m"                       
┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat -m 16700 joanna.hash --wordlist=/opt/wordlists/rockyou.txt --force                                                                                              
hashcat: option '--wordlist-autohex-disable' doesn't allow an argument                 
Invalid argument specified.                

┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat -m 16700 joanna.hash -wordlist=/opt/wordlists/rockyou.txt --force                                                                                               
The specified parameter cannot use 'ordlist=/opt/wordlists/rockyou.txt' as a value - must be a number.                                                                        

┌─[✗]─[root@parrot]─[~/hackthebox/openadmin]                                           
└──╼ #hashcat --help                       
hashcat - advanced password recovery       

Usage: hashcat [options]... hash|hashfile|hccapxfile [dictionary|mask|directory]...    

- [ Options ] -                            

 Options Short / Long           | Type | Description                                          | Example                                                                       
================================+======+======================================================+=======================                                                        
 -m, --hash-type                | Num  | Hash-type, see references below                      | -m 1000                                                                       
 -a, --attack-mode              | Num  | Attack-mode, see references below                    | -a 3                                                                          
 -V, --version                  |      | Print version                                        |                                                                               
 -h, --help                     |      | Print help                                           |                                                                               
     --quiet                    |      | Suppress output                                      |                                                                               
     --hex-charset              |      | Assume charset is given in hex                       |                                                                               
     --hex-salt                 |      | Assume salt is given in hex                          |                                                                               
     --hex-wordlist             |      | Assume words in wordlist are given in hex            |                                                                               
     --force                    |      | Ignore warnings                                      |                                                                               
     --status                   |      | Enable automatic update of the status screen         |                                                                               
     --status-timer             | Num  | Sets seconds between status screen updates to X      | --status-timer=1                                                              
     --stdin-timeout-abort      | Num  | Abort if there is no input from stdin for X seconds  | --stdin-timeout-abort=300                                                     
     --machine-readable         |      | Display the status view in a machine-readable format |                                                                               
     --keep-guessing            |      | Keep guessing the hash after it has been cracked     |                                                                               
     --self-test-disable        |      | Disable self-test functionality on startup           |                                                                               
     --loopback                 |      | Add new plains to induct directory                   |                                                                               
     --markov-hcstat2           | File | Specify hcstat2 file to use                          | --markov-hcstat2=my.hcstat2                                                   
     --markov-disable           |      | Disables markov-chains, emulates classic brute-force |                                                                               
     --markov-classic           |      | Enables classic markov-chains, no per-position       |                                                                               
 -t, --markov-threshold         | Num  | Threshold X when to stop accepting new markov-chains | -t 50                                                                         
     --runtime                  | Num  | Abort session after X seconds of runtime             | --runtime=10                                                                  
     --session                  | Str  | Define specific session name                         | --session=mysession                                                           
     --restore                  |      | Restore session from --session                       |                                                                               
     --restore-disable          |      | Do not write restore file                            |                                                                               
     --restore-file-path        | File | Specific path to restore file                        | --restore-file-path=x.restore                                                 
 -o, --outfile                  | File | Define outfile for recovered hash                    | -o outfile.txt                                                                
     --outfile-format           | Num  | Define outfile-format X for recovered hash           | --outfile-format=7                                                            
     --outfile-autohex-disable  |      | Disable the use of $HEX[] in output plains           |                                                                               
     --outfile-check-timer      | Num  | Sets seconds between outfile checks to X             | --outfile-check=30                                                            
     --wordlist-autohex-disable |      | Disable the conversion of $HEX[] from the wordlist   |                                                                               
 -p, --separator                | Char | Separator char for hashlists and outfile             | -p :                                                                          
     --stdout                   |      | Do not crack a hash, instead print candidates only   |                                                                               
     --show                     |      | Compare hashlist with potfile; show cracked hashes   |                                                                               
     --left                     |      | Compare hashlist with potfile; show uncracked hashes |                                                                               
     --username                 |      | Enable ignoring of usernames in hashfile             |                                                                               
     --remove                   |      | Enable removal of hashes once they are cracked       |                                                                               
     --remove-timer             | Num  | Update input hash file each X seconds                | --remove-timer=30                                                             
     --potfile-disable          |      | Do not write potfile                                 |                                                                               
     --potfile-path             | File | Specific path to potfile                             | --potfile-path=my.pot                                                         
     --encoding-from            | Code | Force internal wordlist encoding from X              | --encoding-from=iso-8859-15                                                   
     --encoding-to              | Code | Force internal wordlist encoding to X                | --encoding-to=utf-32le                                                        
     --debug-mode               | Num  | Defines the debug mode (hybrid only by using rules)  | --debug-mode=4                                                                
     --debug-file               | File | Output file for debugging rules                      | --debug-file=good.log                                                         
     --induction-dir            | Dir  | Specify the induction directory to use for loopback  | --induction=inducts                                                           
     --outfile-check-dir        | Dir  | Specify the outfile directory to monitor for plains  | --outfile-check-dir=x                                                         
     --logfile-disable          |      | Disable the logfile                                  |                                                                               
     --hccapx-message-pair      | Num  | Load only message pairs from hccapx matching X       | --hccapx-message-pair=2                                                       
     --nonce-error-corrections  | Num  | The BF size range to replace AP's nonce last bytes   | --nonce-error-corrections=16                                                  
     --keyboard-layout-mapping  | File | Keyboard layout mapping table for special hash-modes | --keyb=german.hckmap                                                          
     --truecrypt-keyfiles       | File | Keyfiles to use, separated with commas               | --truecrypt-keyf=x.png                                                        
     --veracrypt-keyfiles       | File | Keyfiles to use, separated with commas               | --veracrypt-keyf=x.txt                                                        
     --veracrypt-pim            | Num  | VeraCrypt personal iterations multiplier             | --veracrypt-pim=1000                                                          
 -b, --benchmark                |      | Run benchmark of selected hash-modes                 |                                                                               
     --benchmark-all            |      | Run benchmark of all hash-modes (requires -b)        |                                                                               
     --speed-only               |      | Return expected speed of the attack, then quit       |                                                                               
     --progress-only            |      | Return ideal progress step size and time to process  |                                                                               
 -c, --segment-size             | Num  | Sets size in MB to cache from the wordfile to X      | -c 32                                                                         
     --bitmap-min               | Num  | Sets minimum bits allowed for bitmaps to X           | --bitmap-min=24                                                               
     --bitmap-max               | Num  | Sets maximum bits allowed for bitmaps to X           | --bitmap-max=24                                                               
     --cpu-affinity             | Str  | Locks to CPU devices, separated with commas          | --cpu-affinity=1,2,3                                                          
     --example-hashes           |      | Show an example hash for each hash-mode              |                                                                               
 -I, --opencl-info              |      | Show info about detected OpenCL platforms/devices    | -I                                                                            
     --opencl-platforms         | Str  | OpenCL platforms to use, separated with commas       | --opencl-platforms=2                                                          
 -d, --opencl-devices           | Str  | OpenCL devices to use, separated with commas         | -d 1                                                                          
 -D, --opencl-device-types      | Str  | OpenCL device-types to use, separated with commas    | -D 1                                                                          
     --opencl-vector-width      | Num  | Manually override OpenCL vector-width to X           | --opencl-vector=4                                                             
 -O, --optimized-kernel-enable  |      | Enable optimized kernels (limits password length)    |                                                                               
 -w, --workload-profile         | Num  | Enable a specific workload profile, see pool below   | -w 3                                                                          
 -n, --kernel-accel             | Num  | Manual workload tuning, set outerloop step size to X | -n 64                                                                         
 -u, --kernel-loops             | Num  | Manual workload tuning, set innerloop step size to X | -u 256                                                                        
 -T, --kernel-threads           | Num  | Manual workload tuning, set thread count to X        | -T 64                                                                         
     --spin-damp                | Num  | Use CPU for device synchronization, in percent       | --spin-damp=50                                                                
     --hwmon-disable            |      | Disable temperature and fanspeed reads and triggers  |                                                                               
